"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","WKGPOP","TOT","PC_POP","A","1970",61.56037,
"AUT","WKGPOP","TOT","PC_POP","A","1971",61.46861,
"AUT","WKGPOP","TOT","PC_POP","A","1972",61.49579,
"AUT","WKGPOP","TOT","PC_POP","A","1973",61.62772,
"AUT","WKGPOP","TOT","PC_POP","A","1974",61.75657,
"AUT","WKGPOP","TOT","PC_POP","A","1975",61.89696,
"AUT","WKGPOP","TOT","PC_POP","A","1976",62.21065,
"AUT","WKGPOP","TOT","PC_POP","A","1977",62.63554,
"AUT","WKGPOP","TOT","PC_POP","A","1978",63.094,
"AUT","WKGPOP","TOT","PC_POP","A","1979",63.5922,
"AUT","WKGPOP","TOT","PC_POP","A","1980",64.17838,
"AUT","WKGPOP","TOT","PC_POP","A","1981",64.91567,
"AUT","WKGPOP","TOT","PC_POP","A","1982",65.71902,
"AUT","WKGPOP","TOT","PC_POP","A","1983",66.53701,
"AUT","WKGPOP","TOT","PC_POP","A","1984",67.1844,
"AUT","WKGPOP","TOT","PC_POP","A","1985",67.51325,
"AUT","WKGPOP","TOT","PC_POP","A","1986",67.64841,
"AUT","WKGPOP","TOT","PC_POP","A","1987",67.67382,
"AUT","WKGPOP","TOT","PC_POP","A","1988",67.61806,
"AUT","WKGPOP","TOT","PC_POP","A","1989",67.56796,
"AUT","WKGPOP","TOT","PC_POP","A","1990",67.54154,
"AUT","WKGPOP","TOT","PC_POP","A","1991",67.48322,
"AUT","WKGPOP","TOT","PC_POP","A","1992",67.39512,
"AUT","WKGPOP","TOT","PC_POP","A","1993",67.28775,
"AUT","WKGPOP","TOT","PC_POP","A","1994",67.15995,
"AUT","WKGPOP","TOT","PC_POP","A","1995",67.05843,
"AUT","WKGPOP","TOT","PC_POP","A","1996",67.04295,
"AUT","WKGPOP","TOT","PC_POP","A","1997",67.10863,
"AUT","WKGPOP","TOT","PC_POP","A","1998",67.21214,
"AUT","WKGPOP","TOT","PC_POP","A","1999",67.35532,
"AUT","WKGPOP","TOT","PC_POP","A","2000",67.53059,
"AUT","WKGPOP","TOT","PC_POP","A","2001",67.71947,
"AUT","WKGPOP","TOT","PC_POP","A","2002",67.9193,
"AUT","WKGPOP","TOT","PC_POP","A","2003",68.12301,
"AUT","WKGPOP","TOT","PC_POP","A","2004",68.05524,
"AUT","WKGPOP","TOT","PC_POP","A","2005",67.75602,
"AUT","WKGPOP","TOT","PC_POP","A","2006",67.56139,
"AUT","WKGPOP","TOT","PC_POP","A","2007",67.46616,
"AUT","WKGPOP","TOT","PC_POP","A","2008",67.48563,
"AUT","WKGPOP","TOT","PC_POP","A","2009",67.45699,
"AUT","WKGPOP","TOT","PC_POP","A","2010",67.50555,
"AUT","WKGPOP","TOT","PC_POP","A","2011",67.65762,
"AUT","WKGPOP","TOT","PC_POP","A","2012",67.56736,
"AUT","WKGPOP","TOT","PC_POP","A","2013",67.3957,"B"
"BEL","WKGPOP","TOT","PC_POP","A","1970",63.01654,
"BEL","WKGPOP","TOT","PC_POP","A","1971",63.04574,
"BEL","WKGPOP","TOT","PC_POP","A","1972",63.14873,
"BEL","WKGPOP","TOT","PC_POP","A","1973",63.29244,
"BEL","WKGPOP","TOT","PC_POP","A","1974",63.53144,
"BEL","WKGPOP","TOT","PC_POP","A","1975",63.86073,
"BEL","WKGPOP","TOT","PC_POP","A","1976",64.21719,
"BEL","WKGPOP","TOT","PC_POP","A","1977",64.58009,
"BEL","WKGPOP","TOT","PC_POP","A","1978",64.90064,
"BEL","WKGPOP","TOT","PC_POP","A","1979",65.22786,
"BEL","WKGPOP","TOT","PC_POP","A","1980",65.63413,
"BEL","WKGPOP","TOT","PC_POP","A","1981",65.94435,
"BEL","WKGPOP","TOT","PC_POP","A","1982",66.3046,
"BEL","WKGPOP","TOT","PC_POP","A","1983",66.82764,
"BEL","WKGPOP","TOT","PC_POP","A","1984",67.2416,
"BEL","WKGPOP","TOT","PC_POP","A","1985",67.42201,
"BEL","WKGPOP","TOT","PC_POP","A","1986",67.43472,
"BEL","WKGPOP","TOT","PC_POP","A","1987",67.41057,
"BEL","WKGPOP","TOT","PC_POP","A","1988",67.31979,
"BEL","WKGPOP","TOT","PC_POP","A","1989",67.16339,
"BEL","WKGPOP","TOT","PC_POP","A","1990",66.95631,
"BEL","WKGPOP","TOT","PC_POP","A","1991",66.71991,
"BEL","WKGPOP","TOT","PC_POP","A","1992",66.51888,
"BEL","WKGPOP","TOT","PC_POP","A","1993",66.37458,
"BEL","WKGPOP","TOT","PC_POP","A","1994",66.26075,
"BEL","WKGPOP","TOT","PC_POP","A","1995",66.13338,
"BEL","WKGPOP","TOT","PC_POP","A","1996",65.99802,
"BEL","WKGPOP","TOT","PC_POP","A","1997",65.86765,
"BEL","WKGPOP","TOT","PC_POP","A","1998",65.75224,
"BEL","WKGPOP","TOT","PC_POP","A","1999",65.66449,
"BEL","WKGPOP","TOT","PC_POP","A","2000",65.591,
"BEL","WKGPOP","TOT","PC_POP","A","2001",65.55476,
"BEL","WKGPOP","TOT","PC_POP","A","2002",65.56237,
"BEL","WKGPOP","TOT","PC_POP","A","2003",65.58133,
"BEL","WKGPOP","TOT","PC_POP","A","2004",65.58954,
"BEL","WKGPOP","TOT","PC_POP","A","2005",65.64678,
"BEL","WKGPOP","TOT","PC_POP","A","2006",65.80895,
"BEL","WKGPOP","TOT","PC_POP","A","2007",65.98824,
"BEL","WKGPOP","TOT","PC_POP","A","2008",66.05108,
"BEL","WKGPOP","TOT","PC_POP","A","2009",65.98871,
"BEL","WKGPOP","TOT","PC_POP","A","2010",65.92175,
"BEL","WKGPOP","TOT","PC_POP","A","2011",65.77872,
"BEL","WKGPOP","TOT","PC_POP","A","2012",65.54442,
"BEL","WKGPOP","TOT","PC_POP","A","2013",65.31993,
"BEL","WKGPOP","TOT","PC_POP","A","2014",65.05791,
"CZE","WKGPOP","TOT","PC_POP","A","1970",66.64125,
"CZE","WKGPOP","TOT","PC_POP","A","1971",66.56083,
"CZE","WKGPOP","TOT","PC_POP","A","1972",66.38566,
"CZE","WKGPOP","TOT","PC_POP","A","1973",66.03331,
"CZE","WKGPOP","TOT","PC_POP","A","1974",65.46603,
"CZE","WKGPOP","TOT","PC_POP","A","1975",64.82307,
"CZE","WKGPOP","TOT","PC_POP","A","1976",64.2312,
"CZE","WKGPOP","TOT","PC_POP","A","1977",63.7277,
"CZE","WKGPOP","TOT","PC_POP","A","1978",63.3522,
"CZE","WKGPOP","TOT","PC_POP","A","1979",63.1387,
"CZE","WKGPOP","TOT","PC_POP","A","1980",63.1851,
"CZE","WKGPOP","TOT","PC_POP","A","1981",63.4453,
"CZE","WKGPOP","TOT","PC_POP","A","1982",63.85785,
"CZE","WKGPOP","TOT","PC_POP","A","1983",64.32127,
"CZE","WKGPOP","TOT","PC_POP","A","1984",64.66322,
"CZE","WKGPOP","TOT","PC_POP","A","1985",64.79105,
"CZE","WKGPOP","TOT","PC_POP","A","1986",64.86137,
"CZE","WKGPOP","TOT","PC_POP","A","1987",64.96034,
"CZE","WKGPOP","TOT","PC_POP","A","1988",65.17079,
"CZE","WKGPOP","TOT","PC_POP","A","1989",65.55735,
"CZE","WKGPOP","TOT","PC_POP","A","1990",66.03897,
"CZE","WKGPOP","TOT","PC_POP","A","1991",66.45885,
"CZE","WKGPOP","TOT","PC_POP","A","1992",66.90491,
"CZE","WKGPOP","TOT","PC_POP","A","1993",67.34161,
"CZE","WKGPOP","TOT","PC_POP","A","1994",67.78391,
"CZE","WKGPOP","TOT","PC_POP","A","1995",68.18449,
"CZE","WKGPOP","TOT","PC_POP","A","1996",68.50214,
"CZE","WKGPOP","TOT","PC_POP","A","1997",68.80151,
"CZE","WKGPOP","TOT","PC_POP","A","1998",69.10289,
"CZE","WKGPOP","TOT","PC_POP","A","1999",69.41792,
"CZE","WKGPOP","TOT","PC_POP","A","2000",69.75176,
"CZE","WKGPOP","TOT","PC_POP","A","2001",70.10925,
"CZE","WKGPOP","TOT","PC_POP","A","2002",70.38844,
"CZE","WKGPOP","TOT","PC_POP","A","2003",70.68106,
"CZE","WKGPOP","TOT","PC_POP","A","2004",70.9295,
"CZE","WKGPOP","TOT","PC_POP","A","2005",71.08456,
"CZE","WKGPOP","TOT","PC_POP","A","2006",71.17798,
"CZE","WKGPOP","TOT","PC_POP","A","2007",71.20734,
"CZE","WKGPOP","TOT","PC_POP","A","2008",71.09061,
"CZE","WKGPOP","TOT","PC_POP","A","2009",70.77242,
"CZE","WKGPOP","TOT","PC_POP","A","2010",70.30657,
"CZE","WKGPOP","TOT","PC_POP","A","2011",69.50391,
"CZE","WKGPOP","TOT","PC_POP","A","2012",68.74107,
"CZE","WKGPOP","TOT","PC_POP","A","2013",67.98605,
"CZE","WKGPOP","TOT","PC_POP","A","2014",67.29532,"B"
"DNK","WKGPOP","TOT","PC_POP","A","1970",64.43362,
"DNK","WKGPOP","TOT","PC_POP","A","1971",64.41234,
"DNK","WKGPOP","TOT","PC_POP","A","1972",64.3063,
"DNK","WKGPOP","TOT","PC_POP","A","1973",64.22746,
"DNK","WKGPOP","TOT","PC_POP","A","1974",64.1289,
"DNK","WKGPOP","TOT","PC_POP","A","1975",64.01109,
"DNK","WKGPOP","TOT","PC_POP","A","1976",63.97461,
"DNK","WKGPOP","TOT","PC_POP","A","1977",64.02725,
"DNK","WKGPOP","TOT","PC_POP","A","1978",64.16323,
"DNK","WKGPOP","TOT","PC_POP","A","1979",64.40434,
"DNK","WKGPOP","TOT","PC_POP","A","1980",64.74264,
"DNK","WKGPOP","TOT","PC_POP","A","1981",65.1993,
"DNK","WKGPOP","TOT","PC_POP","A","1982",65.65321,
"DNK","WKGPOP","TOT","PC_POP","A","1983",65.99545,
"DNK","WKGPOP","TOT","PC_POP","A","1984",66.2757,
"DNK","WKGPOP","TOT","PC_POP","A","1985",66.47399,
"DNK","WKGPOP","TOT","PC_POP","A","1986",66.64565,
"DNK","WKGPOP","TOT","PC_POP","A","1987",66.88076,
"DNK","WKGPOP","TOT","PC_POP","A","1988",67.07751,
"DNK","WKGPOP","TOT","PC_POP","A","1989",67.20776,
"DNK","WKGPOP","TOT","PC_POP","A","1990",67.3542,
"DNK","WKGPOP","TOT","PC_POP","A","1991",67.45844,
"DNK","WKGPOP","TOT","PC_POP","A","1992",67.46688,
"DNK","WKGPOP","TOT","PC_POP","A","1993",67.46505,
"DNK","WKGPOP","TOT","PC_POP","A","1994",67.44341,
"DNK","WKGPOP","TOT","PC_POP","A","1995",67.37505,
"DNK","WKGPOP","TOT","PC_POP","A","1996",67.27072,
"DNK","WKGPOP","TOT","PC_POP","A","1997",67.13721,
"DNK","WKGPOP","TOT","PC_POP","A","1998",66.99075,
"DNK","WKGPOP","TOT","PC_POP","A","1999",66.83772,
"DNK","WKGPOP","TOT","PC_POP","A","2000",66.68428,
"DNK","WKGPOP","TOT","PC_POP","A","2001",66.53998,
"DNK","WKGPOP","TOT","PC_POP","A","2002",66.41341,
"DNK","WKGPOP","TOT","PC_POP","A","2003",66.29716,
"DNK","WKGPOP","TOT","PC_POP","A","2004",66.20603,
"DNK","WKGPOP","TOT","PC_POP","A","2005",66.14447,
"DNK","WKGPOP","TOT","PC_POP","A","2006",66.08773,
"DNK","WKGPOP","TOT","PC_POP","A","2007",66.01759,
"DNK","WKGPOP","TOT","PC_POP","A","2008",65.90099,
"DNK","WKGPOP","TOT","PC_POP","A","2009",65.70981,
"DNK","WKGPOP","TOT","PC_POP","A","2010",65.45364,
"DNK","WKGPOP","TOT","PC_POP","A","2011",65.14352,
"DNK","WKGPOP","TOT","PC_POP","A","2012",64.84048,
"DNK","WKGPOP","TOT","PC_POP","A","2013",64.62289,"B"
"FIN","WKGPOP","TOT","PC_POP","A","1970",66.23969,
"FIN","WKGPOP","TOT","PC_POP","A","1971",66.56548,
"FIN","WKGPOP","TOT","PC_POP","A","1972",66.89655,
"FIN","WKGPOP","TOT","PC_POP","A","1973",67.14531,
"FIN","WKGPOP","TOT","PC_POP","A","1974",67.29908,
"FIN","WKGPOP","TOT","PC_POP","A","1975",67.35993,
"FIN","WKGPOP","TOT","PC_POP","A","1976",67.41431,
"FIN","WKGPOP","TOT","PC_POP","A","1977",67.41929,
"FIN","WKGPOP","TOT","PC_POP","A","1978",67.47318,
"FIN","WKGPOP","TOT","PC_POP","A","1979",67.59706,
"FIN","WKGPOP","TOT","PC_POP","A","1980",67.69199,
"FIN","WKGPOP","TOT","PC_POP","A","1981",67.85416,
"FIN","WKGPOP","TOT","PC_POP","A","1982",67.99254,
"FIN","WKGPOP","TOT","PC_POP","A","1983",68.06013,
"FIN","WKGPOP","TOT","PC_POP","A","1984",68.12782,
"FIN","WKGPOP","TOT","PC_POP","A","1985",68.11505,
"FIN","WKGPOP","TOT","PC_POP","A","1986",67.97478,
"FIN","WKGPOP","TOT","PC_POP","A","1987",67.84266,
"FIN","WKGPOP","TOT","PC_POP","A","1988",67.63696,
"FIN","WKGPOP","TOT","PC_POP","A","1989",67.42546,
"FIN","WKGPOP","TOT","PC_POP","A","1990",67.30846,
"FIN","WKGPOP","TOT","PC_POP","A","1991",67.21181,
"FIN","WKGPOP","TOT","PC_POP","A","1992",67.13605,
"FIN","WKGPOP","TOT","PC_POP","A","1993",67.03513,
"FIN","WKGPOP","TOT","PC_POP","A","1994",66.90252,
"FIN","WKGPOP","TOT","PC_POP","A","1995",66.75803,
"FIN","WKGPOP","TOT","PC_POP","A","1996",66.67317,
"FIN","WKGPOP","TOT","PC_POP","A","1997",66.67315,
"FIN","WKGPOP","TOT","PC_POP","A","1998",66.79604,
"FIN","WKGPOP","TOT","PC_POP","A","1999",66.89255,
"FIN","WKGPOP","TOT","PC_POP","A","2000",66.92426,
"FIN","WKGPOP","TOT","PC_POP","A","2001",66.92367,
"FIN","WKGPOP","TOT","PC_POP","A","2002",66.87176,
"FIN","WKGPOP","TOT","PC_POP","A","2003",66.81374,
"FIN","WKGPOP","TOT","PC_POP","A","2004",66.7368,
"FIN","WKGPOP","TOT","PC_POP","A","2005",66.69844,
"FIN","WKGPOP","TOT","PC_POP","A","2006",66.5844,
"FIN","WKGPOP","TOT","PC_POP","A","2007",66.53432,
"FIN","WKGPOP","TOT","PC_POP","A","2008",66.57256,
"FIN","WKGPOP","TOT","PC_POP","A","2009",66.45439,
"FIN","WKGPOP","TOT","PC_POP","A","2010",66.1943,
"FIN","WKGPOP","TOT","PC_POP","A","2011",65.70156,
"FIN","WKGPOP","TOT","PC_POP","A","2012",65.10898,
"FIN","WKGPOP","TOT","PC_POP","A","2013",64.49715,
"FIN","WKGPOP","TOT","PC_POP","A","2014",63.66959,
"FRA","WKGPOP","TOT","PC_POP","A","1970",62.30144,
"FRA","WKGPOP","TOT","PC_POP","A","1971",62.31353,
"FRA","WKGPOP","TOT","PC_POP","A","1972",62.32276,
"FRA","WKGPOP","TOT","PC_POP","A","1973",62.36223,
"FRA","WKGPOP","TOT","PC_POP","A","1974",62.46407,
"FRA","WKGPOP","TOT","PC_POP","A","1975",62.59521,
"FRA","WKGPOP","TOT","PC_POP","A","1976",62.77784,
"FRA","WKGPOP","TOT","PC_POP","A","1977",62.96859,
"FRA","WKGPOP","TOT","PC_POP","A","1978",63.14119,
"FRA","WKGPOP","TOT","PC_POP","A","1979",63.35815,
"FRA","WKGPOP","TOT","PC_POP","A","1980",63.69783,
"FRA","WKGPOP","TOT","PC_POP","A","1981",64.22053,
"FRA","WKGPOP","TOT","PC_POP","A","1982",64.75211,
"FRA","WKGPOP","TOT","PC_POP","A","1983",65.22909,
"FRA","WKGPOP","TOT","PC_POP","A","1984",65.66055,
"FRA","WKGPOP","TOT","PC_POP","A","1985",65.84989,
"FRA","WKGPOP","TOT","PC_POP","A","1986",65.87053,
"FRA","WKGPOP","TOT","PC_POP","A","1987",65.92995,
"FRA","WKGPOP","TOT","PC_POP","A","1988",65.98162,
"FRA","WKGPOP","TOT","PC_POP","A","1989",65.97746,
"FRA","WKGPOP","TOT","PC_POP","A","1990",65.88081,
"FRA","WKGPOP","TOT","PC_POP","A","1991",65.71005,
"FRA","WKGPOP","TOT","PC_POP","A","1992",65.56098,
"FRA","WKGPOP","TOT","PC_POP","A","1993",65.45898,
"FRA","WKGPOP","TOT","PC_POP","A","1994",65.37665,
"FRA","WKGPOP","TOT","PC_POP","A","1995",65.31967,
"FRA","WKGPOP","TOT","PC_POP","A","1996",65.28787,
"FRA","WKGPOP","TOT","PC_POP","A","1997",65.26353,
"FRA","WKGPOP","TOT","PC_POP","A","1998",65.21727,
"FRA","WKGPOP","TOT","PC_POP","A","1999",65.13992,
"FRA","WKGPOP","TOT","PC_POP","A","2000",65.06287,
"FRA","WKGPOP","TOT","PC_POP","A","2001",65.01971,
"FRA","WKGPOP","TOT","PC_POP","A","2002",65.01285,
"FRA","WKGPOP","TOT","PC_POP","A","2003",65.04174,
"FRA","WKGPOP","TOT","PC_POP","A","2004",65.06348,
"FRA","WKGPOP","TOT","PC_POP","A","2005",65.08629,
"FRA","WKGPOP","TOT","PC_POP","A","2006",65.13602,
"FRA","WKGPOP","TOT","PC_POP","A","2007",65.14175,
"FRA","WKGPOP","TOT","PC_POP","A","2008",65.0452,
"FRA","WKGPOP","TOT","PC_POP","A","2009",64.89129,
"FRA","WKGPOP","TOT","PC_POP","A","2010",64.74749,
"FRA","WKGPOP","TOT","PC_POP","A","2011",64.47021,
"FRA","WKGPOP","TOT","PC_POP","A","2012",64.04309,
"FRA","WKGPOP","TOT","PC_POP","A","2013",63.6171,"B"
"DEU","WKGPOP","TOT","PC_POP","A","1970",63.64611,
"DEU","WKGPOP","TOT","PC_POP","A","1971",63.56562,
"DEU","WKGPOP","TOT","PC_POP","A","1972",63.59937,
"DEU","WKGPOP","TOT","PC_POP","A","1973",63.74887,
"DEU","WKGPOP","TOT","PC_POP","A","1974",63.90241,
"DEU","WKGPOP","TOT","PC_POP","A","1975",64.05732,
"DEU","WKGPOP","TOT","PC_POP","A","1976",64.34643,
"DEU","WKGPOP","TOT","PC_POP","A","1977",64.7101,
"DEU","WKGPOP","TOT","PC_POP","A","1978",65.13445,
"DEU","WKGPOP","TOT","PC_POP","A","1979",65.65785,
"DEU","WKGPOP","TOT","PC_POP","A","1980",66.31583,
"DEU","WKGPOP","TOT","PC_POP","A","1981",67.16222,
"DEU","WKGPOP","TOT","PC_POP","A","1982",68.09598,
"DEU","WKGPOP","TOT","PC_POP","A","1983",69.0116,"B"
"DEU","WKGPOP","TOT","PC_POP","A","1984",69.68697,
"DEU","WKGPOP","TOT","PC_POP","A","1985",70.00688,
"DEU","WKGPOP","TOT","PC_POP","A","1986",70.0488,"B"
"DEU","WKGPOP","TOT","PC_POP","A","1987",70.11805,
"DEU","WKGPOP","TOT","PC_POP","A","1988",69.90887,
"DEU","WKGPOP","TOT","PC_POP","A","1989",69.70014,
"DEU","WKGPOP","TOT","PC_POP","A","1990",69.95605,"B"
"DEU","WKGPOP","TOT","PC_POP","A","1991",69.15133,
"DEU","WKGPOP","TOT","PC_POP","A","1992",68.5638,
